Month,2015,2014,2013,2012,2011,2010,2009,2008
1,3.5,0,32.206,43.354,0.63,99.9,0,62.1
2,16.8,2.512,4.098,18.654,37.342,2.9,0,69.3
3,183.9,19.314,35.918,31.888,136.716,14.6,30.2,3.6
4,128.9,25.358,64.366,51.914,136.662,17.3,359.6,180.8
5,82.5,125.41,111.54,108.984,246.128,279.3,463.4,257.9
6,495.0,125.936,206.946,123.418,196.584,198.8,219.3,163.6
7,220.8,122.27,142.212,176.626,288.68,348.7,175.7,221.8
8,50.5,218.006,228.214,190.436,292.804,343.1,354,172.1
9,352.4,203.436,312.22,548.736,266.538,409.5,351.8,335.2
10,334.2,206.998,314.09,236.996,337.502,256.3,264.2,399.3
11,34.9,51.506,69.286,106.022,1.88,30.6,46.5,36.7
12,42.7,25.926,2.06,12.256,0.584,22.7,7.3,0
