geocode_district,district_name,AMP_ID,Community,Population (From Bankok Statisitic 2014),Family,Household
1050,BangBon,0201,42,"39,675","8,266","8,266"
1006,BangKapi,0202,41,"94,380","18,937","18,937"
1040,BangKhae,0203,50,"49,702","8,612","8,612"
1005,BangKhen,0204,41,"38,028","9,698","9,698"
1031,BangKhoLaem,0205,46,"41,931","8,770","8,770"
1021,Bangkhuntien,0206,94,"99,295","25,689","25,715"
1020,BangkokNoi,0207,43,"28,595","7,144","7,144"
1016,BangkokYai,0208,44,"68,724","12,852","12,852"
1047,BangNa,0209,42,"108,690","18,685","19,450"
1025,BangPlad,0210,32,"18,066","3,655","3,668"
1004,BangRak,0211,28,"28,620","7,665","7,665"
1029,BangSu,0212,50,"55,334","12,484","12,484"
1027,BungKum,0213,77,"72,683","18,362","18,357"
1030,Chatuchak,0214,29,"49,068","7,271","7,271"
1035,ChomThong,0215,50,"38,358","7,723","7,723"
1026,DinDang,0216,48,"49,905","10,789","10,771"
1036,DonMuang,0217,15,"14,752","3,662","3,662"
1002,Dusit,0218,38,"35,346","10,397","10,397"
1017,HuaiKwang,0219,43,"39,004","8,906","8,906"
1043,KhanNaYao,0220,17,"28,866","4,888","4,888"
1046,KhlongSamWa,0221,15,"10,115","2,137","2,137"
1018,KhlongSan,0222,28,"25,566","6,692","6,692"
1033,KhlongToey,0223,42,"25,373","5,699","5,699"
1041,LakSi,0224,21,"21,772","3,924","3,924"
1011,LatKrabang,0225,53,"44,294","9,317","9,317"
1038,LatPhrao,0226,63,"80,613","17,587","17,507"
1010,MinBuri,0227,18,"14,154","3,009","3,009"
1003,NongChok,0228,25,"27,186","4,912","4,912"
1023,Nongkheam,0229,28,"20,935","3,921","3,921"
1007,PathumWan,0230,65,"79,857","21,721","21,717"
1022,PhasiCharoen,0231,35,"41,182","11,557","11,559"
1014,PhayaThai,0232,26,"33,632","5,710","5,710"
1001,PhraNakhon,0233,18,"8,053","2,217","2,217"
1008,PomPramSattru,0234,73,"52,083","14,106","14,106"
1009,Prakanong,0235,95,"64,098","16,994","16,994"
1032,Prawet,0236,25,"18,736","3,562","3,562"
1024,RatBurana,0237,45,"45,831","7,564","7,773"
1037,Ratchathewi,0238,23,"22,862","6,317","6,317"
1042,SaiMai,0239,79,"74,531","17,058","18,078"
1013,Samphantawong,0240,77,"95,839","22,406","22,408"
1044,SaphanSung,0241,41,"33,542","8,447","8,457"
1028,Sathorn,0242,29,"43,796","9,001","9,001"
1034,SuanLuang,0243,19,"20,551","4,438","4,438"
1019,TalingChan,0244,81,"51,114","13,977","13,977"
1048,ThawiWattana,0245,17,"17,022","3,453","3,453"
1015,ThonBuri,0246,38,"36,670","8,890","8,890"
1049,Thungkru,0247,16,"11,935","3,737","3,737"
1045,WangThonglang,0248,50,"40,572","8,450","8,450"
1039,Wattana,0249,29,"25,434","6,015","6,015"
1012,Yannawa,0250,13,"9,424","2,158","2,158"
