geocode_district,district_name,AMP_ID,Total Gagbage 2012,Gabage Per day 2012,Total Gagbage 2013,Gabage Per day 2013,Total Gagbage 2014,Gabage Per day 2014
1050,BangBon,0201,46047.63,125.81,45999.16,126.03,45362.27,124.28
1006,BangKapi,0202,116373.63,317.96,125154.42,342.89,123375.07,338.01
1040,BangKhae,0203,71079.63,194.21,73572.67,201.57,73694.79,201.9
1005,BangKhen,0204,133599,365.02,134495.2,368.48,132541.73,363.13
1031,BangKhoLaem,0205,66280.12,181.09,64255.42,176.04,62915.62,172.37
1021,Bangkhuntien,0206,61517.68,168.08,61150.2,167.53,61924.77,169.66
1020,BangkokNoi,0207,44094.08,120.48,44920.38,123.07,46197.79,126.57
1016,BangkokYai,0208,59997.65,163.93,59261.47,162.36,58793.52,161.08
1047,BangNa,0209,71742.58,196.02,66923.32,183.35,68311.84,187.16
1025,BangPlad,0210,32544.03,88.92,31028.59,85.01,29936.32,82.02
1004,BangRak,0211,119485.81,326.46,120588.63,330.38,119561.54,327.57
1029,BangSu,0212,100306.22,274.06,101407.13,277.83,100637.34,275.72
1027,BungKum,0213,92009.14,251.39,93232.54,255.43,94551.77,259.05
1030,Chatuchak,0214,48873.58,133.53,50080.65,137.21,49387.07,135.31
1035,ChomThong,0215,60239.44,164.59,57483.17,157.49,55616.92,152.38
1026,DinDang,0216,54176.59,148.02,51677.16,141.58,53022.55,145.27
1036,DonMuang,0217,59341.51,162.14,60767.82,166.49,58888.59,161.34
1002,Dusit,0218,65620.42,179.29,68732.57,188.31,68234.58,186.94
1017,HuaiKwang,0219,87574.21,239.27,96435.6,264.21,100039.91,274.08
1043,KhanNaYao,0220,99912.63,272.99,104378.92,285.97,102164.88,279.9
1046,KhlongSamWa,0221,32973.08,90.09,32474.08,88.97,30773.1,84.31
1018,KhlongSan,0222,58373.54,159.49,56694.52,155.33,56102.81,153.71
1033,KhlongToey,0223,54202.11,148.09,56903.13,155.9,56855.12,155.77
1041,LakSi,0224,70252.06,191.95,71844.4,196.83,69299.5,189.86
1011,LatKrabang,0225,56144.63,153.4,56241.59,154.09,56299.54,154.25
1038,LatPhrao,0226,66509.47,181.72,69510.57,190.44,70706.48,193.72
1010,MinBuri,0227,62931.45,171.94,64938.84,177.91,64219.38,175.94
1003,NongChok,0228,73143.96,199.85,73673.78,201.85,70191.22,192.3
1023,Nongkheam,0229,43070.24,117.68,42008.46,115.09,42497.82,116.43
1007,PathumWan,0230,84154.63,229.93,88997.47,243.83,90386.71,247.63
1022,PhasiCharoen,0231,60432.04,165.11,61570.58,168.69,61136.23,167.5
1014,PhayaThai,0232,63432.94,173.31,63438.72,173.8,65347.55,179.03
1001,PhraNakhon,0233,21959.45,60,21322.25,58.42,20630.96,56.52
1008,PomPramSattru,0234,62531.84,170.85,62327.91,170.76,63247.08,173.28
1009,Prakanong,0235,38235.24,104.47,40386.71,110.65,43346.67,118.76
1032,Prawet,0236,69188.53,188.53,72966.56,199.91,73513.35,201.41
1024,RatBurana,0237,79376.4,216.88,84437.67,231.34,86217.6,236.21
1037,Ratchathewi,0238,94435.68,258.02,99325.19,272.12,99857.15,273.58
1042,SaiMai,0239,57737.69,157.75,56520.13,154.85,55536.33,152.15
1013,Samphantawong,0240,68452.05,187.03,67685.15,185.44,69603.82,190.7
1044,SaphanSung,0241,46923.22,128.21,46243.04,126.69,44940.93,123.13
1028,Sathorn,0242,38955.67,106.44,42271.73,115.81,43415.08,118.95
1034,SuanLuang,0243,80198.83,219.12,82431.37,225.84,82777.04,226.79
1019,TalingChan,0244,56591.03,154.62,61388.54,168.19,60062.73,164.56
1048,ThawiWattana,0245,98955.18,270.37,104557.9,286.46,102550.7,280.96
1015,ThonBuri,0246,75129.41,205.27,78871.05,216.09,80428.07,220.35
1049,Thungkru,0247,34648.59,94.67,35234.22,96.53,35221.33,96.5
1045,WangThonglang,0248,97084.32,265.26,96274.86,263.77,95859.89,262.63
1039,Wattana,0249,43483.13,118.81,44914.01,123.05,44073.77,120.75
1012,Yannawa,0250,71984.22,196.68,74723.44,204.72,74829.6,205.01
