geocode_district,district_name,population_1 (From DDC Source),Community,area_km2,population_2 (From Bangkok stat),Age < 35,Age +35,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,> 100
1050,Bang Bon,82585,13,35,104451,51399,53052,5461,7004,8003,8934,7925,6781,7291,8208,8859,9193,8414,6201,4719,2885,1950,1419,723,347,87,37,10
1006,Bang Kapi,159014,28,29,146528,63657,82871,6893,8189,8610,9539,9119,9032,12275,14278,13755,12681,11405,9399,7340,5080,3535,2729,1563,722,269,82,33
1040,Bang Khae,192504,50,45,188400,83470,104930,8507,9932,10995,13769,13502,12612,14153,15288,15317,16398,16091,13254,10197,6797,4541,3607,2072,926,286,105,51
1005,Bang Khen,187662,77,42,187546,81268,106278,8775,9574,10260,12168,13341,11886,15264,17234,17003,17303,15865,12588,9079,6322,4307,3216,1979,914,315,105,48
1031,Bang Kho Laem,135388,29,11,86867,38349,48518,3838,4509,5052,6039,6340,6032,6539,6415,6257,6268,6774,6463,5689,3840,2583,2095,1266,595,182,67,24
1047,Bang Na,113399,50,19,95255,37889,57366,3746,3761,4290,5813,6366,6396,7517,7816,7328,7539,7644,7122,6203,4512,3515,2733,1639,873,321,90,31
1025,Bang Plad,137344,42,11,95255,37889,57366,3746,3761,4290,5813,6366,6396,7517,7816,7328,7539,7644,7122,6203,4512,3515,2733,1639,873,321,90,31
1004,Bang Rak,72670,32,6,123806,50007,73799,4618,5416,6459,7781,8174,8251,9308,9513,9177,9595,10309,9500,8078,5730,4243,3533,2213,1123,429,226,130
1029,Bang Su,180598,38,12,170979,84426,86553,10318,11554,12208,13113,11677,11385,14171,15661,15118,14580,12655,9740,7345,4524,2845,2157,1097,564,186,72,9
1021,Bangkhuntien,120016,48,121,110938,44949,65989,3882,4424,5177,6914,9152,7504,7896,8216,8111,8489,9237,8790,7126,5167,3598,3194,2105,1102,395,178,281
1020,Bangkok Noi,181372,15,12,67798,28065,39733,2561,2879,3501,4516,4865,4720,5023,5347,5052,5126,5549,5065,4403,3105,2284,1838,1176,528,180,64,16
1016,Bangkok Yai,100393,50,6,91847,40299,51548,3786,5104,5439,6333,6502,6064,7071,7516,7342,7694,7872,6517,4957,3389,2357,1832,1123,570,205,88,86
1027,Bung Kum,152562,38,24,143761,62402,81359,6492,7712,8628,9807,9516,8946,11301,12989,13201,12785,11963,9664,7639,5076,3337,2327,1381,680,232,60,25
1030,Chatuchak,190578,41,33,156622,65275,91347,5952,7272,8453,10205,9623,10643,13127,13657,12848,12395,12236,11149,9039,6574,4692,4048,2639,1318,515,188,49
1035,Chom Thong,195602,50,26,150745,66963,83782,6847,7642,8565,10772,10967,10620,11550,11557,11571,11889,12391,10904,8800,5872,4125,3275,1893,912,299,122,172
1026,Din Dang,186319,23,8,123600,52638,70962,4745,5905,6952,9021,8408,8213,9394,9742,9462,9893,10169,9131,7611,5355,3719,2841,1768,802,270,99,100
1036,Don Muang,160444,94,37,165648,78424,87224,7549,8913,9559,12316,15187,11505,13395,13730,13854,14416,13793,10693,7705,4909,3261,2444,1391,665,224,87,52
1002,Dusit,175658,46,11,97362,42037,55325,3508,3827,4587,5774,10993,6705,6643,6330,6362,6958,8270,7336,5634,4022,3068,2780,2087,1113,627,357,381
1017,Huai Kwang,90185,25,15,77471,34242,43229,3504,3793,3997,4633,4795,5710,7810,7653,6491,5859,5523,4847,4282,3115,2144,1568,962,496,192,72,25
1043,Khan Na Yao,85576,41,26,86262,39058,47204,4301,5085,5466,6160,5825,5592,6629,7296,7536,7595,7154,5501,4347,2879,1970,1474,859,422,119,40,12
1046,Khlong Sam Wa,99352,81,111,177662,85551,92111,10958,12107,12414,13669,11638,10724,14041,16691,18111,18409,13963,8942,6024,3882,2583,1816,1049,456,142,36,7
1018,Khlong San,127152,42,6,70391,29146,41245,2660,3056,3625,4528,4897,4908,5472,5460,5205,5365,5631,5359,4761,3419,2224,1824,1183,546,187,66,15
1033,Khlong Toey,159527,41,13,97275,43669,53606,4714,5051,5513,6433,6829,7000,8129,8132,7520,7873,7772,6582,5272,3816,2463,1905,1302,604,226,102,37
1041,Lak Si,131766,79,23,105617,44665,60952,4289,5069,5472,6880,8122,6865,7968,8740,8766,8477,8849,7598,6265,4576,3198,2277,1245,640,230,70,21
1011,Lat Krabang,128199,65,124,166944,82187,84757,10317,10996,11458,12757,11346,11069,14244,15309,15332,15050,12969,8976,6561,3870,2732,2018,1122,533,192,63,30
1038,Lat Phrao,119838,35,22,120442,51406,69036,5177,6155,7236,7729,7498,7443,10168,10942,10410,9756,9202,8111,7202,5348,3395,2331,1349,679,234,68,9
1010,Min Buri,110551,63,64,137597,66795,70802,8182,9482,9819,10737,9636,8556,10383,12123,12577,12768,10804,7740,5698,3452,2407,1694,915,414,160,49,1
1003,Nong Chok,98407,95,236,161673,82380,79293,10854,12089,12254,13092,11483,10235,12373,14704,15507,14953,11274,7397,5413,3637,2510,1946,1130,527,205,62,28
1023,Nongkheam,122062,73,36,151330,71169,80161,8245,9266,9731,11349,10569,9830,12179,13336,13465,13085,12204,9397,6989,4543,3057,2213,1167,516,148,35,6
1007,Pathum Wan,116401,17,8,46093,20082,26011,1641,1936,2513,3154,3804,3394,3640,3591,3253,3467,3538,3326,3017,2040,1302,1094,737,341,131,80,94
1022,Phasi Charoen,158827,53,18,126025,55324,70701,5877,6348,6879,8538,8913,8757,10012,10465,9873,10136,10159,8778,7203,4899,3589,2870,1564,752,293,84,36
1014,Phaya Thai,102652,28,10,69066,30797,38269,2648,3271,4257,4152,6666,4668,5135,5383,5610,5682,5457,4648,3583,2554,1801,1537,1056,588,248,101,21
1001,Phra Nakhon,92636,21,6,53378,21968,31410,1463,2265,4034,3534,3724,3425,3523,3710,3982,3999,4175,4036,3584,2667,1811,1582,1037,484,213,93,37
1008,Pom Pram Sattru,85857,15,2,45997,18111,27886,1615,1736,2391,2899,3122,3211,3137,3454,3242,3382,3707,3703,3461,2432,1518,1393,881,427,172,83,31
1009,Prakanong,111720,42,14,90868,38380,52488,3654,4130,4875,6191,6413,6078,7039,7302,7301,7402,7613,6714,5508,3791,2585,2033,1297,628,217,80,17
1032,Prawet,134189,43,53,163575,77710,85865,9785,10790,11011,11869,10811,10175,13269,15385,14880,13740,11696,9117,7432,5122,3511,2501,1416,684,246,90,45
1024,Rat Burana,107080,28,16,83048,37181,45867,3924,4573,5242,5931,5833,5432,6246,6821,6842,6845,6551,5485,4621,3170,2177,1617,1019,475,153,65,26
1037,Ratchathewi,119574,25,7,63866,28410,35456,2389,2864,3357,4484,6143,4575,4598,4697,4305,4784,5286,4699,3562,2528,1735,1519,1024,575,318,164,260
1042,Sai Mai,158839,77,45,191076,86830,104246,9914,11218,12095,13885,12914,11784,15020,16763,17574,18298,16246,11611,8309,5652,4028,2990,1655,747,246,97,30
1013,Samphantawong,42255,18,1,24872,9329,15543,689,877,1202,1407,1653,1735,1766,1848,1821,1774,2051,2068,1903,1472,962,782,508,233,85,23,13
1044,Saphan Sung,80082,29,28,91659,42301,49358,4411,5191,6251,6756,6518,6025,7149,7603,7662,7754,7425,6123,4939,3185,1917,1370,792,414,129,39,6
1028,Sathorn,124902,26,9,78129,32175,45954,2804,3576,4300,5012,5197,5331,5955,5811,5678,5827,6366,6109,5356,3724,2453,2141,1379,697,250,121,42
1034,Suan Luang,126970,45,24,115615,53132,62483,5752,6450,7363,8010,7715,7949,9893,10428,10127,9211,8280,6857,5896,4324,3000,2199,1267,601,200,73,20
1019,Taling Chan,111878,43,30,104650,44163,60487,4536,5055,5476,6947,7256,7088,7805,8268,8133,8603,8804,7840,6452,4564,3086,2365,1371,651,229,90,31
1048,Thawi Wattana,58255,16,50,76297,33133,43164,3427,4052,4438,5458,5328,5090,5340,5926,6190,6553,6675,6090,4478,2842,1797,1379,793,300,106,27,8
1015,Thon Buri,210653,44,9,112308,47698,64610,4551,5026,5897,7515,8118,7794,8797,8783,8402,8767,9061,8561,6892,4763,3379,2834,1894,808,304,130,32
1049,Thungkru,97818,29,31,117778,54781,62997,6178,7188,7593,8711,8154,7605,9352,10273,10271,10209,9382,7406,5657,3829,2509,1881,991,415,112,49,13
1045,Wang Thonglang,120907,19,20,112176,50101,62075,4807,6113,7628,7942,7531,6984,9096,9779,10052,9416,8682,7103,5741,3988,2802,2171,1382,660,213,66,20
1039,Wattana,91596,17,13,68587,27793,40794,2883,3451,3761,4157,4140,4327,5074,5369,5339,5120,4937,4641,4309,3317,2406,2011,1450,931,442,239,283
1012,Yannawa,105330,18,17,78215,34683,43532,3500,4045,4627,5365,5350,5462,6334,6424,6087,6008,6156,5440,4712,3224,2106,1580,1013,485,184,81,32
